Cya;Mach
0.340478334709053;0.07350725518340458
0.342902879121509;0.2698671037113822
0.34940203771597045;0.47171472843092854
0.361815139490387;0.6793935769905802
0.3845828962377494;0.8931799649658413
0.431206195748092;1.1116730777502164
0.4221741277532655;1.3350913934622357
0.40165421056532613;1.5646137218503626
0.3793229088362083;1.800882390514049
0.35542433832447223;2.044517876209146
0.33385156909065966;2.2961352910744126
0.3131947567025262;2.556526376287903
0.29456135809430434;2.826399774988303
0.2763901957607297;3.1065750928984426
0.2587846196850865;3.397418482183294
0.24386414649392213;3.699758426557549
0.2298569730771671;4.014475568511766
0.2166730587202496;4.342530104046693
0.20306186731611317;4.685308146996757
0.18898685600521886;5.044482943911218
0.17444943031434784;5.421984843984827
0.15915275200130355;5.820218719250709
0.14298980070043665;6.241920010509148
0.12580527230265018;6.691110345338396
0.11883696096288443;6.8734643987852015
